transaction_id,invoice_number,date,sku,product_name,brand,category,supplier,city,state,quantity,unit_price_brl,cost_price_brl,total_value_brl,channel,customer_type,payment_method,total_cost_brl,gross_profit_brl,gross_margin_pct
7154c96b-f108-43d6-bc2e-00e7edf77f1b,INV100001,2025-08-23,OLE_SOY_900ML,Óleo de Soja Soya 900ml,Soya,Alimentos,Atacado Norte,Porto Alegre,RS,6,7.81,5.31,46.86,Loja Física,Mercado,Pix,31.86,15.0,32.01
a23afc06-6abe-4a96-aeaf-02569bfc66f0,INV100002,2025-09-09,MOL_TOM_340G,Molho de Tomate Quero 340g,Quero,Alimentos,Supply Brasil,Fortaleza,SP,6,3.63,2.12,21.78,Loja Física,Restaurante,Boleto,12.72,9.06,41.6
c394d6de-b77a-47da-918b-754186f3b365,INV100003,2025-08-21,ARZ_TJO_5KG,Arroz Tio João 5kg,Tio João,Alimentos,Mega Fornecedores,Belém,CE,8,27.46,18.14,219.68,Loja Física,Padaria,Cartão,145.12,74.56,33.94
c815fd9d-9740-4442-877e-e3884bcd5df7,INV100004,2025-09-07,ARZ_TJO_5KG,Arroz Tio João 5kg,Tio João,Alimentos,Mega Fornecedores,Fortaleza,BA,3,25.04,18.34,75.12,Loja Física,Restaurante,Dinheiro,55.02,20.1,26.76
a09936bf-14f6-4276-b6b2-897cff16be0d,INV100005,2025-08-04,OLE_SOY_900ML,Óleo de Soja Soya 900ml,Soya,Alimentos,Central de Marcas,Rio de Janeiro,BA,5,7.7,5.24,38.5,E-commerce B2B,Padaria,Cartão,26.2,12.3,31.95
57f7393b-204d-414d-983e-d7823000e5fe,INV100006,2025-07-16,FRI_SAL_1KG,Sal Refinado Cisne 1kg,Cisne,Alimentos,Supply Brasil,Rio de Janeiro,CE,11,2.81,1.74,30.91,Loja Física,Revenda,Pix,19.14,11.77,38.08
41325fd5-4769-45a2-8294-8592cc393318,INV100007,2025-08-22,FRI_BAT_1KG,Batata Congelada 1kg,FryCold,Alimentos,Atacado Norte,Brasília,RS,7,12.72,8.14,89.04,E-commerce B2B,Mercado,Pix,56.98,32.06,36.01
0805df0c-d7db-4bd6-8574-e4afdf3b3357,INV100008,2025-09-01,MAC_RNT_500G,Macarrão Espaguete Renata 500g,Renata,Alimentos,Distribuidora ABC,Porto Alegre,RJ,7,3.88,2.58,27.16,Loja Física,Hortifruti,Cartão,18.06,9.1,33.51
d25c14e3-09fb-416c-8ffb-66a4324c083f,INV100009,2025-08-06,ACU_UNI_1KG,Açúcar União 1kg,União,Alimentos,Atacado Norte,Porto Alegre,PR,12,4.21,2.98,50.52,E-commerce B2B,Mercado,Cartão,35.76,14.76,29.22
c69b76fb-a7a4-4aca-b590-5e8721339856,INV100010,2025-07-24,QUE_POL_300G,Queijo Prato Fatiado 300g (marca genérica),Laticínios BR,Alimentos,Mega Fornecedores,Belo Horizonte,AM,7,18.44,12.37,129.08,Loja Física,Padaria,Boleto,86.59,42.49,32.92
